,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2021,X2022,X2023,X2024,X2025,X2026,X2027,X2028,X2029,X2030,X2031,X2032,X2033,X2034,X2035,X2036,X2037,X2038,X2039,X2040,X2061,X2062,X2063,X2064,X2065,X2066,X2067,X2068,X2069,X2070,X2071,X2072,X2073,X2074,X2075,X2076,X2077,X2078,X2079,X2080,OBJECTID,CTRY20CD,CTRY20NM,BNG_E,BNG_N,LONG,LAT,Shape__Are,Shape__Len,geometry,
8531,15.899434,15.777511,15.777511,16.039522,16.483442,15.863992,17.115171,16.476633,16.059586,17.202265,14.936383,15.160378,15.302733,16.416193,16.032831,16.55013,16.623186,17.059807,16.967281,16.629602,17.313257,17.701584,19.97795,16.245564,19.818474,17.99764,17.760042,17.952055,17.919657,18.106321,16.92341,18.578505,18.34216,18.538263,17.276493,17.900328,17.193024,17.462751,18.568592,17.7777,20.565094,19.637152,19.253328,20.921553,20.576431,19.869093,21.632517,20.671156,19.09436,21.143005,20.19611,21.281195,20.389969,20.903196,20.353384,21.696672,19.846067,20.704826,21.854696,21.736658,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(87500, 12500)
10967,16.94827,16.462631,16.462631,17.067785,18.453718,16.81007,18.57739,17.736769,17.180208,18.17705,16.01576,16.207026,16.395334,17.480026,17.329388,17.883451,17.453674,18.746084,17.93467,17.95285,18.46395,18.672459,21.639648,16.898571,21.707956,19.284372,18.762033,19.286455,19.122696,19.077393,18.193838,20.417887,19.693886,19.965372,18.437376,19.341063,18.69831,18.861065,19.976543,18.467747,22.711096,21.502403,21.731583,23.096037,23.521654,22.880579,24.442202,23.029959,20.792963,23.548468,22.183504,23.977686,22.734362,23.617796,22.8225,24.871485,21.590431,22.485573,24.02375,24.38588,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(137500, 32500)
10968,17.011545,16.50634,16.50634,17.14576,18.618164,16.835352,18.631271,17.710001,17.241682,18.224031,16.026878,16.216639,16.440838,17.515972,17.526201,18.022362,17.538877,18.85961,18.166986,18.097319,18.610085,18.708292,21.74471,17.026299,22.077803,19.51442,18.941568,19.29822,19.180655,19.038235,18.216393,20.592741,19.7721,20.25297,18.47273,19.627054,18.93619,19.033411,20.156271,18.583984,23.022089,22.00148,22.119242,23.552073,23.938354,22.886492,24.690374,23.505606,21.289194,24.142073,22.43379,24.621054,23.148432,24.1234,23.318466,25.780085,21.844795,22.831085,24.704615,25.021605,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(137500, 27500)
10969,17.185974,16.685577,16.685577,17.243029,18.787933,16.939491,18.767792,17.773048,17.414001,18.361734,16.109522,16.396624,16.531763,17.67064,17.71752,18.128923,17.75779,18.96263,18.383753,18.30361,18.874533,18.873474,21.788727,17.277494,22.538086,19.800388,19.215494,19.48191,19.281898,19.17215,18.310553,20.716072,19.926142,20.449057,18.627737,19.863852,19.218351,19.161242,20.450037,18.813622,23.203154,22.343626,22.28353,23.9516,24.30433,22.815004,24.925217,23.972992,21.648218,24.623825,22.851667,25.14432,23.427498,24.587051,23.586884,25.95672,22.146677,23.204689,25.13637,25.588882,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(137500, 22500)
11211,16.654888,16.103294,16.103294,16.680832,18.155848,16.476534,18.152136,17.340307,16.806314,17.760744,15.616775,15.865193,16.041706,17.0912,17.024775,17.51114,17.042828,18.402433,17.593458,17.533484,18.07094,18.236437,21.2722,16.555891,21.4992,18.918083,18.392815,18.92367,18.811363,18.702547,17.811079,20.0572,19.388214,19.784807,18.177547,19.023504,18.332035,18.508509,19.60444,18.197012,22.299408,21.279703,21.527433,23.07255,23.34011,22.52314,24.104227,22.862442,20.660803,23.405518,22.026955,23.81516,22.615135,23.410738,22.740318,24.741968,21.335175,22.336592,23.893364,24.26061,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(142500, 32500)
11212,16.906519,16.36714,16.36714,16.9412,18.390657,16.70704,18.389614,17.544174,17.09004,17.955957,15.836521,16.106665,16.227411,17.361252,17.435678,17.828539,17.361965,18.616087,18.030054,17.82652,18.52883,18.630493,21.564978,16.96694,22.006685,19.375746,18.835836,19.126207,19.000834,18.969172,18.05707,20.22943,19.677668,20.262735,18.454353,19.494337,18.73491,18.855385,20.036135,18.582901,22.826685,21.973518,21.924448,23.566515,23.883606,22.609367,24.492546,23.561533,21.361923,24.06916,22.560068,24.614435,23.15294,24.101852,23.36577,25.404127,21.942495,22.811836,24.613932,25.06183,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(142500, 27500)
11454,16.711508,16.180746,16.180746,16.76362,18.141254,16.585222,18.2817,17.371826,16.871038,17.860392,15.722285,15.969155,16.098688,17.23089,17.001154,17.503508,17.10699,18.459557,17.604055,17.555779,17.935228,18.185495,21.317327,16.564295,21.341103,18.87612,18.336401,18.948181,18.84111,18.790018,17.884521,19.872503,19.46615,19.547226,18.171576,18.837038,18.18379,18.512854,19.624853,18.171362,22.063108,20.99456,21.282446,22.788681,23.076818,22.484085,24.119476,22.723497,20.510962,23.063095,21.836966,23.4649,22.510168,23.171877,22.470734,24.440588,21.28827,22.317429,23.362398,23.824417,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(147500, 37500)
11455,17.032812,16.46097,16.46097,17.02948,18.470703,16.828485,18.478868,17.558952,17.201391,18.107214,15.947418,16.24928,16.300734,17.421215,17.389618,17.867006,17.413363,18.770647,17.98937,17.92689,18.395658,18.595972,21.651306,16.959433,21.96907,19.32515,18.705946,19.30901,19.16624,19.114592,18.1575,20.40317,19.853056,20.215736,18.549034,19.383148,18.617613,18.944014,19.97113,18.596073,22.660955,21.749367,22.00545,23.541441,23.882399,22.818968,24.520044,23.415665,21.206114,23.84923,22.602365,24.383713,23.09755,24.023092,23.332724,25.302925,21.836075,22.80487,24.412466,24.681564,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(147500, 32500)
11698,17.218634,16.700554,16.700554,17.264914,18.490835,17.112253,18.711105,17.875336,17.45043,18.370468,16.193794,16.503958,16.597788,17.750399,17.53438,18.0753,17.662706,19.020824,18.141825,18.024843,18.492828,18.746939,21.795776,17.15422,21.817762,19.399332,18.940842,19.46417,19.298693,19.405481,18.425886,20.32056,20.03333,20.068197,18.759604,19.346588,18.666264,19.01758,20.1079,18.772211,22.629349,21.487677,21.71904,23.329123,23.490625,22.917143,24.496782,23.27256,20.993063,23.380753,22.469543,23.915154,22.971565,23.577215,23.020912,24.760414,21.874336,22.87702,23.978493,24.225845,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(152500, 37500)
11699,17.520197,16.966475,16.966475,17.533998,18.934645,17.396795,19.055067,18.097906,17.867277,18.6921,16.535492,16.74858,16.82912,18.022001,17.967913,18.481138,18.054226,19.347822,18.60014,18.466843,18.971464,19.138494,22.207787,17.540272,22.536789,19.82262,19.296045,19.83047,19.573309,19.71916,18.76857,20.96049,20.390656,20.798927,19.119764,19.947203,19.179054,19.471138,20.599598,19.158014,23.303131,22.25589,22.534128,24.128876,24.488874,23.34925,25.044556,24.079872,21.711464,24.237001,23.269674,24.899588,23.533663,24.51445,23.973558,25.750473,22.515863,23.47416,24.959684,25.201754,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(152500, 32500)
